<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.07882	1.07899	1.07853	1.07883	265	0	13
2024.05.14	01:00:00	1.07882	1.07897	1.07872	1.07894	226	0	7
2024.05.14	02:00:00	1.07896	1.07935	1.07896	1.07919	430	0	0
2024.05.14	03:00:00	1.07919	1.07922	1.07854	1.07875	618	0	0
2024.05.14	04:00:00	1.07875	1.07896	1.07843	1.07873	886	0	0
2024.05.14	05:00:00	1.07873	1.07873	1.07844	1.07866	465	0	0
2024.05.14	06:00:00	1.07866	1.07880	1.07853	1.07875	605	0	0
2024.05.14	07:00:00	1.07876	1.07888	1.07853	1.07853	395	0	0
2024.05.14	08:00:00	1.07853	1.07871	1.07843	1.07863	515	0	0
2024.05.14	09:00:00	1.07862	1.07893	1.07829	1.07874	1405	0	0
2024.05.14	10:00:00	1.07875	1.07889	1.07856	1.07872	1288	0	0
2024.05.14	11:00:00	1.07872	1.07872	1.07753	1.07835	1783	0	0
2024.05.14	12:00:00	1.07835	1.07935	1.07835	1.07928	1432	0	0
2024.05.14	13:00:00	1.07928	1.07988	1.07921	1.07962	1195	0	0
2024.05.14	14:00:00	1.07962	1.07989	1.07925	1.07925	1038	0	0
2024.05.14	15:00:00	1.07927	1.08104	1.07664	1.08032	3081	0	0
2024.05.14	16:00:00	1.08030	1.08226	1.08006	1.08188	2992	0	0
2024.05.14	17:00:00	1.08188	1.08256	1.08099	1.08248	2437	0	0
2024.05.14	18:00:00	1.08248	1.08249	1.08150	1.08183	1612	0	0
2024.05.14	19:00:00	1.08183	1.08200	1.08138	1.08168	1298	0	0
2024.05.14	20:00:00	1.08168	1.08199	1.08154	1.08190	968	0	0
2024.05.14	21:00:00	1.08190	1.08229	1.08187	1.08198	720	0	0
2024.05.14	22:00:00	1.08198	1.08217	1.08192	1.08200	923	0	0
2024.05.14	23:00:00	1.08199	1.08206	1.08174	1.08182	457	0	1
2024.05.15	00:00:00	1.08172	1.08190	1.08150	1.08158	424	0	13
2024.05.15	01:00:00	1.08161	1.08172	1.08157	1.08163	200	0	8
2024.05.15	02:00:00	1.08164	1.08169	1.08137	1.08138	391	0	0
2024.05.15	03:00:00	1.08138	1.08177	1.08131	1.08169	957	0	0
2024.05.15	04:00:00	1.08169	1.08225	1.08164	1.08224	842	0	0
2024.05.15	05:00:00	1.08224	1.08266	1.08198	1.08252	670	0	0
2024.05.15	06:00:00	1.08254	1.08277	1.08249	1.08260	568	0	0
2024.05.15	07:00:00	1.08260	1.08261	1.08204	1.08214	477	0	0
2024.05.15	08:00:00	1.08214	1.08280	1.08212	1.08269	660	0	0
2024.05.15	09:00:00	1.08272	1.08306	1.08225	1.08303	1310	0	0
2024.05.15	10:00:00	1.08304	1.08325	1.08253	1.08260	1775	0	0
2024.05.15	11:00:00	1.08259	1.08345	1.08246	1.08299	1476	0	0
2024.05.15	12:00:00	1.08299	1.08320	1.08247	1.08280	1476	0	0
2024.05.15	13:00:00	1.08281	1.08298	1.08233	1.08246	1030	0	0
2024.05.15	14:00:00	1.08246	1.08293	1.08219	1.08292	1470	0	0
2024.05.15	15:00:00	1.08293	1.08693	1.08280	1.08612	3869	0	0
2024.05.15	16:00:00	1.08612	1.08658	1.08317	1.08351	3743	0	0
2024.05.15	17:00:00	1.08350	1.08600	1.08339	1.08574	2830	0	0
2024.05.15	18:00:00	1.08576	1.08744	1.08557	1.08599	2103	0	0
2024.05.15	19:00:00	1.08598	1.08735	1.08561	1.08719	1779	0	0
2024.05.15	20:00:00	1.08719	1.08804	1.08716	1.08799	1376	0	0
2024.05.15	21:00:00	1.08798	1.08806	1.08728	1.08784	1173	0	0
2024.05.15	22:00:00	1.08783	1.08828	1.08778	1.08818	845	0	0
2024.05.15	23:00:00	1.08818	1.08857	1.08810	1.08837	556	0	0
2024.05.16	00:00:00	1.08837	1.08842	1.08766	1.08825	428	0	12
2024.05.16	01:00:00	1.08818	1.08895	1.08818	1.08885	410	0	7
2024.05.16	02:00:00	1.08890	1.08900	1.08876	1.08883	631	0	0
2024.05.16	03:00:00	1.08883	1.08949	1.08865	1.08935	1251	0	0
2024.05.16	04:00:00	1.08936	1.08938	1.08842	1.08866	1545	0	0
2024.05.16	05:00:00	1.08866	1.08882	1.08814	1.08872	1129	0	0
2024.05.16	06:00:00	1.08872	1.08893	1.08859	1.08873	888	0	0
2024.05.16	07:00:00	1.08873	1.08873	1.08842	1.08847	655	0	0
2024.05.16	08:00:00	1.08847	1.08851	1.08797	1.08797	790	0	0
2024.05.16	09:00:00	1.08796	1.08829	1.08747	1.08764	1478	0	0
2024.05.16	10:00:00	1.08771	1.08821	1.08732	1.08746	1930	0	0
2024.05.16	11:00:00	1.08746	1.08767	1.08665	1.08732	1768	0	0
2024.05.16	12:00:00	1.08732	1.08749	1.08687	1.08701	1294	0	0
2024.05.16	13:00:00	1.08699	1.08738	1.08667	1.08722	1192	0	0
2024.05.16	14:00:00	1.08722	1.08748	1.08617	1.08667	1397	0	0
2024.05.16	15:00:00	1.08667	1.08742	1.08607	1.08632	2636	0	0
2024.05.16	16:00:00	1.08633	1.08668	1.08546	1.08559	2655	0	0
2024.05.16	17:00:00	1.08560	1.08703	1.08544	1.08702	2471	0	0
2024.05.16	18:00:00	1.08703	1.08757	1.08667	1.08751	1675	0	0
2024.05.16	19:00:00	1.08750	1.08753	1.08699	1.08734	1292	0	0
2024.05.16	20:00:00	1.08734	1.08755	1.08683	1.08706	1198	0	0
2024.05.16	21:00:00	1.08707	1.08717	1.08657	1.08709	1164	0	0
2024.05.16	22:00:00	1.08708	1.08708	1.08669	1.08670	872	0	0
2024.05.16	23:00:00	1.08670	1.08670	1.08644	1.08663	547	0	0
2024.05.17	00:00:00	1.08662	1.08676	1.08593	1.08654	398	0	15
2024.05.17	01:00:00	1.08654	1.08688	1.08654	1.08674	259	0	6
2024.05.17	02:00:00	1.08674	1.08680	1.08660	1.08677	361	0	0
2024.05.17	03:00:00	1.08677	1.08687	1.08599	1.08628	771	0	0
2024.05.17	04:00:00	1.08628	1.08638	1.08574	1.08593	1000	0	0
2024.05.17	05:00:00	1.08595	1.08605	1.08544	1.08570	857	0	0
2024.05.17	06:00:00	1.08571	1.08615	1.08568	1.08591	573	0	0
2024.05.17	07:00:00	1.08592	1.08594	1.08555	1.08562	431	0	0
2024.05.17	08:00:00	1.08562	1.08623	1.08557	1.08611	648	0	0
2024.05.17	09:00:00	1.08610	1.08666	1.08582	1.08626	1358	0	0
2024.05.17	10:00:00	1.08628	1.08682	1.08576	1.08589	1659	0	0
2024.05.17	11:00:00	1.08590	1.08595	1.08417	1.08440	1860	0	0
2024.05.17	12:00:00	1.08440	1.08469	1.08411	1.08446	1335	0	0
2024.05.17	13:00:00	1.08446	1.08446	1.08361	1.08383	1161	0	0
2024.05.17	14:00:00	1.08383	1.08454	1.08358	1.08431	1227	0	0
2024.05.17	15:00:00	1.08432	1.08457	1.08389	1.08429	1625	0	0
2024.05.17	16:00:00	1.08430	1.08564	1.08430	1.08553	2125	0	0
2024.05.17	17:00:00	1.08554	1.08771	1.08551	1.08764	2182	0	0
2024.05.17	18:00:00	1.08763	1.08783	1.08652	1.08686	1821	0	0
2024.05.17	19:00:00	1.08686	1.08745	1.08673	1.08686	1210	0	0
2024.05.17	20:00:00	1.08683	1.08743	1.08683	1.08737	1015	0	0
2024.05.17	21:00:00	1.08736	1.08764	1.08720	1.08754	979	0	0
2024.05.17	22:00:00	1.08754	1.08762	1.08704	1.08723	1386	0	0
2024.05.17	23:00:00	1.08724	1.08724	1.08673	1.08685	580	0	1
2024.05.20	00:00:00	1.08670	1.08686	1.08647	1.08681	202	0	9
2024.05.20	01:00:00	1.08680	1.08725	1.08674	1.08703	396	0	6
2024.05.20	02:00:00	1.08703	1.08743	1.08703	1.08725	479	0	0
2024.05.20	03:00:00	1.08724	1.08772	1.08690	1.08753	882	0	0
2024.05.20	04:00:00	1.08752	1.08767	1.08718	1.08754	1188	0	0
2024.05.20	05:00:00	1.08754	1.08754	1.08717	1.08741	770	0	0
2024.05.20	06:00:00	1.08741	1.08787	1.08728	1.08781	590	0	0
2024.05.20	07:00:00	1.08780	1.08822	1.08777	1.08807	643	0	0
2024.05.20	08:00:00	1.08807	1.08826	1.08795	1.08804	596	0	0
2024.05.20	09:00:00	1.08805	1.08845	1.08777	1.08783	1402	0	0
2024.05.20	10:00:00	1.08778	1.08809	1.08695	1.08732	1776	0	0
2024.05.20	11:00:00	1.08731	1.08763	1.08712	1.08748	1237	0	0
2024.05.20	12:00:00	1.08746	1.08751	1.08666	1.08690	1027	0	0
2024.05.20	13:00:00	1.08690	1.08738	1.08688	1.08706	966	0	0
2024.05.20	14:00:00	1.08707	1.08718	1.08599	1.08600	1248	0	0
2024.05.20	15:00:00	1.08601	1.08631	1.08535	1.08575	2286	0	0
2024.05.20	16:00:00	1.08575	1.08673	1.08575	1.08651	2230	0	0
2024.05.20	17:00:00	1.08651	1.08698	1.08627	1.08651	2164	0	0
2024.05.20	18:00:00	1.08651	1.08651	1.08577	1.08604	1658	0	0
2024.05.20	19:00:00	1.08605	1.08660	1.08592	1.08657	1076	0	0
2024.05.20	20:00:00	1.08657	1.08706	1.08629	1.08643	930	0	0
2024.05.20	21:00:00	1.08642	1.08668	1.08612	1.08651	950	0	0
2024.05.20	22:00:00	1.08650	1.08652	1.08592	1.08598	854	0	0
2024.05.20	23:00:00	1.08599	1.08601	1.08559	1.08561	1325	0	2
2024.05.21	00:00:00	1.08557	1.08590	1.08532	1.08587	290	0	10
2024.05.21	01:00:00	1.08586	1.08589	1.08557	1.08586	834	0	6
2024.05.21	02:00:00	1.08587	1.08608	1.08585	1.08605	870	0	0
2024.05.21	03:00:00	1.08606	1.08618	1.08566	1.08615	982	0	0
2024.05.21	04:00:00	1.08614	1.08616	1.08556	1.08558	1002	0	0
2024.05.21	05:00:00	1.08558	1.08566	1.08509	1.08556	900	0	0
2024.05.21	06:00:00	1.08556	1.08568	1.08539	1.08559	598	0	0
2024.05.21	07:00:00	1.08555	1.08601	1.08551	1.08588	506	0	0
2024.05.21	08:00:00	1.08589	1.08615	1.08566	1.08583	788	0	0
2024.05.21	09:00:00	1.08581	1.08636	1.08569	1.08616	1518	0	0
2024.05.21	10:00:00	1.08616	1.08669	1.08594	1.08645	1874	0	0
2024.05.21	11:00:00	1.08645	1.08694	1.08598	1.08666	1866	0	0
2024.05.21	12:00:00	1.08666	1.08748	1.08663	1.08718	1518	0	0
2024.05.21	13:00:00	1.08719	1.08733	1.08655	1.08667	1118	0	0
2024.05.21	14:00:00	1.08666	1.08698	1.08644	1.08683	1166	0	0
2024.05.21	15:00:00	1.08684	1.08707	1.08547	1.08571	2263	0	0
2024.05.21	16:00:00	1.08571	1.08605	1.08429	1.08496	3466	0	0
2024.05.21	17:00:00	1.08498	1.08618	1.08465	1.08593	2459	0	0
2024.05.21	18:00:00	1.08593	1.08613	1.08531	1.08541	1952	0	0
2024.05.21	19:00:00	1.08541	1.08568	1.08518	1.08538	1328	0	0
2024.05.21	20:00:00	1.08539	1.08543	1.08462	1.08531	1081	0	0
2024.05.21	21:00:00	1.08531	1.08555	1.08501	1.08520	917	0	0
2024.05.21	22:00:00	1.08519	1.08563	1.08508	1.08560	793	0	0
2024.05.21	23:00:00	1.08558	1.08563	1.08529	1.08532	367	0	0
2024.05.22	00:00:00	1.08518	1.08559	1.08517	1.08537	282	0	4
2024.05.22	01:00:00	1.08537	1.08573	1.08531	1.08569	284	0	7
2024.05.22	02:00:00	1.08570	1.08595	1.08538	1.08539	369	0	0
2024.05.22	03:00:00	1.08540	1.08598	1.08539	1.08575	766	0	0
2024.05.22	04:00:00	1.08570	1.08616	1.08553	1.08599	843	0	0
2024.05.22	05:00:00	1.08599	1.08633	1.08569	1.08591	1082	0	0
2024.05.22	06:00:00	1.08590	1.08592	1.08537	1.08558	635	0	0
2024.05.22	07:00:00	1.08558	1.08561	1.08527	1.08535	521	0	0
2024.05.22	08:00:00	1.08535	1.08567	1.08522	1.08560	654	0	0
2024.05.22	09:00:00	1.08570	1.08633	1.08557	1.08615	1746	0	0
2024.05.22	10:00:00	1.08610	1.08634	1.08504	1.08579	1624	0	0
2024.05.22	11:00:00	1.08577	1.08582	1.08464	1.08483	1460	0	0
2024.05.22	12:00:00	1.08483	1.08496	1.08413	1.08436	1352	0	0
2024.05.22	13:00:00	1.08436	1.08463	1.08367	1.08376	1349	0	0
2024.05.22	14:00:00	1.08376	1.08384	1.08220	1.08275	1786	0	0
2024.05.22	15:00:00	1.08277	1.08368	1.08265	1.08320	2286	0	0
2024.05.22	16:00:00	1.08320	1.08408	1.08318	1.08355	2274	0	0
2024.05.22	17:00:00	1.08355	1.08399	1.08317	1.08335	2440	0	0
2024.05.22	18:00:00	1.08336	1.08425	1.08331	1.08360	1784	0	0
2024.05.22	19:00:00	1.08360	1.08441	1.08357	1.08424	1553	0	0
2024.05.22	20:00:00	1.08424	1.08469	1.08342	1.08372	1574	0	0
2024.05.22	21:00:00	1.08376	1.08382	1.08177	1.08212	2697	0	0
2024.05.22	22:00:00	1.08214	1.08223	1.08174	1.08210	1381	0	0
2024.05.22	23:00:00	1.08210	1.08233	1.08200	1.08221	648	0	0
2024.05.23	00:00:00	1.08214	1.08244	1.08192	1.08226	246	0	7
2024.05.23	01:00:00	1.08230	1.08258	1.08228	1.08249	384	0	7
2024.05.23	02:00:00	1.08249	1.08270	1.08242	1.08251	435	0	0
2024.05.23	03:00:00	1.08251	1.08288	1.08246	1.08256	812	0	0
2024.05.23	04:00:00	1.08256	1.08301	1.08247	1.08278	1100	0	0
2024.05.23	05:00:00	1.08278	1.08291	1.08220	1.08284	664	0	0
2024.05.23	06:00:00	1.08286	1.08314	1.08272	1.08305	566	0	0
2024.05.23	07:00:00	1.08304	1.08323	1.08266	1.08266	543	0	0
2024.05.23	08:00:00	1.08266	1.08282	1.08232	1.08241	644	0	0
2024.05.23	09:00:00	1.08236	1.08282	1.08216	1.08271	1507	0	0
2024.05.23	10:00:00	1.08271	1.08337	1.08124	1.08297	2657	0	0
2024.05.23	11:00:00	1.08289	1.08448	1.08283	1.08386	2134	0	0
2024.05.23	12:00:00	1.08386	1.08483	1.08333	1.08460	2006	0	0
2024.05.23	13:00:00	1.08460	1.08485	1.08437	1.08452	1427	0	0
