<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.25552	1.25585	1.25531	1.25552	159	0	16
2024.05.14	00:30:00	1.25551	1.25585	1.25543	1.25575	227	0	24
2024.05.14	01:00:00	1.25575	1.25604	1.25573	1.25575	110	0	0
2024.05.14	01:30:00	1.25575	1.25593	1.25564	1.25574	128	0	10
2024.05.14	02:00:00	1.25574	1.25591	1.25567	1.25586	106	0	6
2024.05.14	02:30:00	1.25586	1.25619	1.25581	1.25596	84	0	5
2024.05.14	03:00:00	1.25596	1.25604	1.25538	1.25538	511	0	4
2024.05.14	03:30:00	1.25538	1.25583	1.25531	1.25570	513	0	2
2024.05.14	04:00:00	1.25570	1.25592	1.25540	1.25547	618	0	3
2024.05.14	04:30:00	1.25548	1.25572	1.25528	1.25560	735	0	4
2024.05.14	05:00:00	1.25560	1.25563	1.25540	1.25546	445	0	4
2024.05.14	05:30:00	1.25546	1.25568	1.25537	1.25565	479	0	2
2024.05.14	06:00:00	1.25567	1.25577	1.25546	1.25566	625	0	2
2024.05.14	06:30:00	1.25566	1.25591	1.25558	1.25588	569	0	3
2024.05.14	07:00:00	1.25590	1.25596	1.25558	1.25560	387	0	0
2024.05.14	07:30:00	1.25560	1.25566	1.25530	1.25540	307	0	0
2024.05.14	08:00:00	1.25540	1.25563	1.25522	1.25548	361	0	0
2024.05.14	08:30:00	1.25548	1.25573	1.25518	1.25528	374	0	0
2024.05.14	09:00:00	1.25529	1.25633	1.25475	1.25560	1013	0	0
2024.05.14	09:30:00	1.25560	1.25605	1.25518	1.25586	577	0	0
2024.05.14	10:00:00	1.25586	1.25593	1.25461	1.25489	827	0	0
2024.05.14	10:30:00	1.25489	1.25524	1.25464	1.25519	714	0	0
2024.05.14	11:00:00	1.25519	1.25532	1.25091	1.25133	1388	0	0
2024.05.14	11:30:00	1.25133	1.25309	1.25109	1.25285	1039	0	0
2024.05.14	12:00:00	1.25285	1.25384	1.25262	1.25374	1135	0	0
2024.05.14	12:30:00	1.25374	1.25445	1.25331	1.25434	677	0	0
2024.05.14	13:00:00	1.25435	1.25519	1.25434	1.25508	591	0	0
2024.05.14	13:30:00	1.25509	1.25578	1.25480	1.25541	702	0	0
2024.05.14	14:00:00	1.25542	1.25589	1.25525	1.25551	760	0	0
2024.05.14	14:30:00	1.25553	1.25590	1.25513	1.25520	528	0	0
2024.05.14	15:00:00	1.25520	1.25603	1.25513	1.25549	799	0	0
2024.05.14	15:30:00	1.25514	1.25648	1.25199	1.25533	2384	0	0
2024.05.14	16:00:00	1.25530	1.25801	1.25488	1.25723	1864	0	0
2024.05.14	16:30:00	1.25724	1.25843	1.25668	1.25836	1321	0	0
2024.05.14	17:00:00	1.25830	1.25842	1.25691	1.25697	1342	0	0
2024.05.14	17:30:00	1.25697	1.25916	1.25681	1.25885	1379	0	0
2024.05.14	18:00:00	1.25884	1.25884	1.25798	1.25823	1175	0	0
2024.05.14	18:30:00	1.25832	1.25928	1.25820	1.25879	968	0	0
2024.05.14	19:00:00	1.25881	1.25881	1.25809	1.25833	723	0	0
2024.05.14	19:30:00	1.25833	1.25891	1.25829	1.25851	726	0	0
2024.05.14	20:00:00	1.25851	1.25867	1.25810	1.25841	591	0	0
2024.05.14	20:30:00	1.25841	1.25856	1.25817	1.25847	559	0	2
2024.05.14	21:00:00	1.25847	1.25909	1.25847	1.25896	527	0	1
2024.05.14	21:30:00	1.25896	1.25913	1.25877	1.25887	740	0	3
2024.05.14	22:00:00	1.25886	1.25919	1.25886	1.25916	594	0	3
2024.05.14	22:30:00	1.25916	1.25918	1.25896	1.25897	488	0	3
2024.05.14	23:00:00	1.25897	1.25913	1.25886	1.25891	183	0	6
2024.05.14	23:30:00	1.25891	1.25926	1.25883	1.25909	268	0	0
2024.05.15	00:00:00	1.25886	1.25904	1.25737	1.25883	134	0	15
2024.05.15	00:30:00	1.25884	1.25892	1.25855	1.25881	134	0	20
2024.05.15	01:00:00	1.25882	1.25900	1.25870	1.25886	174	0	14
2024.05.15	01:30:00	1.25885	1.25896	1.25883	1.25884	300	0	12
2024.05.15	02:00:00	1.25883	1.25886	1.25860	1.25877	95	0	6
2024.05.15	02:30:00	1.25877	1.25878	1.25836	1.25836	359	0	5
2024.05.15	03:00:00	1.25837	1.25895	1.25835	1.25866	373	0	3
2024.05.15	03:30:00	1.25866	1.25895	1.25857	1.25880	436	0	3
2024.05.15	04:00:00	1.25880	1.25908	1.25873	1.25902	415	0	4
2024.05.15	04:30:00	1.25902	1.25925	1.25881	1.25922	506	0	2
2024.05.15	05:00:00	1.25924	1.25944	1.25886	1.25907	389	0	2
2024.05.15	05:30:00	1.25907	1.25959	1.25906	1.25947	426	0	3
2024.05.15	06:00:00	1.25947	1.25986	1.25945	1.25983	303	0	3
2024.05.15	06:30:00	1.25984	1.25991	1.25963	1.25977	305	0	5
2024.05.15	07:00:00	1.25977	1.25980	1.25948	1.25952	281	0	2
2024.05.15	07:30:00	1.25951	1.25952	1.25917	1.25931	338	0	1
2024.05.15	08:00:00	1.25930	1.25964	1.25917	1.25934	524	0	1
2024.05.15	08:30:00	1.25934	1.25982	1.25921	1.25977	435	0	1
2024.05.15	09:00:00	1.25982	1.26000	1.25909	1.25922	751	0	0
2024.05.15	09:30:00	1.25922	1.25941	1.25868	1.25932	727	0	0
2024.05.15	10:00:00	1.25931	1.26000	1.25915	1.25939	856	0	0
2024.05.15	10:30:00	1.25939	1.26001	1.25928	1.25946	684	0	0
2024.05.15	11:00:00	1.25942	1.26068	1.25942	1.26063	773	0	0
2024.05.15	11:30:00	1.26063	1.26139	1.26034	1.26123	687	0	0
2024.05.15	12:00:00	1.26123	1.26176	1.26094	1.26159	798	0	0
2024.05.15	12:30:00	1.26163	1.26247	1.26158	1.26243	676	0	0
2024.05.15	13:00:00	1.26243	1.26243	1.26154	1.26163	474	0	0
2024.05.15	13:30:00	1.26163	1.26168	1.26044	1.26062	660	0	0
2024.05.15	14:00:00	1.26063	1.26150	1.26030	1.26087	844	0	0
2024.05.15	14:30:00	1.26089	1.26134	1.26063	1.26133	719	0	0
2024.05.15	15:00:00	1.26133	1.26220	1.26121	1.26192	1059	0	0
