<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	156.201	156.209	156.011	156.209	871	0	27
2024.05.14	00:30:00	156.209	156.213	156.140	156.189	301	0	27
2024.05.14	01:00:00	156.188	156.212	156.170	156.195	236	0	6
2024.05.14	01:30:00	156.195	156.237	156.191	156.223	255	0	0
2024.05.14	02:00:00	156.225	156.238	156.181	156.188	235	0	2
2024.05.14	02:30:00	156.191	156.236	156.181	156.228	561	0	1
2024.05.14	03:00:00	156.227	156.334	156.224	156.333	801	0	3
2024.05.14	03:30:00	156.335	156.394	156.291	156.291	1005	0	2
2024.05.14	04:00:00	156.291	156.455	156.291	156.430	986	0	2
2024.05.14	04:30:00	156.430	156.445	156.390	156.419	601	0	2
2024.05.14	05:00:00	156.421	156.493	156.421	156.455	504	0	0
2024.05.14	05:30:00	156.455	156.469	156.421	156.444	248	0	3
2024.05.14	06:00:00	156.442	156.448	156.396	156.408	440	0	6
2024.05.14	06:30:00	156.408	156.434	156.374	156.411	316	0	1
2024.05.14	07:00:00	156.417	156.434	156.406	156.411	182	0	2
2024.05.14	07:30:00	156.411	156.422	156.374	156.408	291	0	2
2024.05.14	08:00:00	156.408	156.426	156.393	156.409	396	0	1
2024.05.14	08:30:00	156.409	156.447	156.398	156.419	423	0	1
2024.05.14	09:00:00	156.418	156.539	156.407	156.502	715	0	0
2024.05.14	09:30:00	156.503	156.505	156.428	156.449	999	0	1
2024.05.14	10:00:00	156.450	156.506	156.424	156.501	827	0	0
2024.05.14	10:30:00	156.501	156.503	156.434	156.460	509	0	0
2024.05.14	11:00:00	156.460	156.491	156.410	156.445	726	0	1
2024.05.14	11:30:00	156.446	156.481	156.428	156.453	579	0	0
2024.05.14	12:00:00	156.453	156.468	156.285	156.285	652	0	2
2024.05.14	12:30:00	156.286	156.375	156.286	156.350	717	0	0
2024.05.14	13:00:00	156.350	156.411	156.344	156.370	558	0	2
2024.05.14	13:30:00	156.370	156.433	156.369	156.427	492	0	0
2024.05.14	14:00:00	156.427	156.457	156.405	156.455	314	0	0
2024.05.14	14:30:00	156.455	156.464	156.429	156.451	366	0	0
2024.05.14	15:00:00	156.446	156.456	156.404	156.441	606	0	3
2024.05.14	15:30:00	156.441	156.790	156.441	156.579	2157	0	0
2024.05.14	16:00:00	156.580	156.653	156.227	156.403	1903	0	0
2024.05.14	16:30:00	156.408	156.481	156.324	156.348	1431	0	3
2024.05.14	17:00:00	156.350	156.516	156.333	156.501	1184	0	2
2024.05.14	17:30:00	156.501	156.501	156.279	156.392	1141	0	1
2024.05.14	18:00:00	156.391	156.443	156.373	156.418	907	0	1
2024.05.14	18:30:00	156.418	156.512	156.415	156.504	834	0	0
2024.05.14	19:00:00	156.504	156.541	156.480	156.511	662	0	0
2024.05.14	19:30:00	156.512	156.526	156.452	156.481	798	0	3
2024.05.14	20:00:00	156.474	156.506	156.423	156.481	566	0	3
2024.05.14	20:30:00	156.481	156.513	156.458	156.501	423	0	3
2024.05.14	21:00:00	156.501	156.505	156.437	156.441	486	0	1
2024.05.14	21:30:00	156.441	156.443	156.381	156.433	457	0	1
2024.05.14	22:00:00	156.433	156.447	156.404	156.430	490	0	4
2024.05.14	22:30:00	156.430	156.472	156.430	156.460	545	0	1
2024.05.14	23:00:00	156.460	156.464	156.433	156.444	275	0	8
2024.05.14	23:30:00	156.444	156.450	156.399	156.413	330	0	9
2024.05.15	00:00:00	156.389	156.419	156.389	156.406	117	0	28
2024.05.15	00:30:00	156.406	156.414	156.386	156.409	75	0	25
2024.05.15	01:00:00	156.409	156.467	156.390	156.442	284	0	8
2024.05.15	01:30:00	156.442	156.476	156.428	156.431	296	0	11
2024.05.15	02:00:00	156.430	156.476	156.422	156.457	254	0	3
2024.05.15	02:30:00	156.456	156.522	156.456	156.518	408	0	2
