<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.07882	1.07935	1.07853	1.07875	1539	0	0
2024.05.14	04:00:00	1.07875	1.07896	1.07843	1.07853	2351	0	0
2024.05.14	08:00:00	1.07853	1.07893	1.07753	1.07835	4991	0	0
2024.05.14	12:00:00	1.07835	1.08104	1.07664	1.08032	6746	0	0
2024.05.14	16:00:00	1.08030	1.08256	1.08006	1.08168	8339	0	0
2024.05.14	20:00:00	1.08168	1.08229	1.08154	1.08182	3068	0	0
2024.05.15	00:00:00	1.08172	1.08190	1.08131	1.08169	1972	0	0
2024.05.15	04:00:00	1.08169	1.08277	1.08164	1.08214	2557	0	0
2024.05.15	08:00:00	1.08214	1.08345	1.08212	1.08299	5221	0	0
2024.05.15	12:00:00	1.08299	1.08693	1.08219	1.08612	7845	0	0
2024.05.15	16:00:00	1.08612	1.08744	1.08317	1.08719	10455	0	0
2024.05.15	20:00:00	1.08719	1.08857	1.08716	1.08837	3950	0	0
2024.05.16	00:00:00	1.08837	1.08949	1.08766	1.08935	2720	0	0
2024.05.16	04:00:00	1.08936	1.08938	1.08814	1.08847	4217	0	0
2024.05.16	08:00:00	1.08847	1.08851	1.08665	1.08732	5966	0	0
2024.05.16	12:00:00	1.08732	1.08749	1.08607	1.08632	6519	0	0
2024.05.16	16:00:00	1.08633	1.08757	1.08544	1.08734	8093	0	0
2024.05.16	20:00:00	1.08734	1.08755	1.08644	1.08663	3781	0	0
2024.05.17	00:00:00	1.08662	1.08688	1.08593	1.08628	1789	0	0
2024.05.17	04:00:00	1.08628	1.08638	1.08544	1.08562	2861	0	0
2024.05.17	08:00:00	1.08562	1.08682	1.08417	1.08440	5525	0	0
2024.05.17	12:00:00	1.08440	1.08469	1.08358	1.08429	5348	0	0
2024.05.17	16:00:00	1.08430	1.08783	1.08430	1.08686	7338	0	0
2024.05.17	20:00:00	1.08683	1.08764	1.08673	1.08685	3960	0	0
2024.05.20	00:00:00	1.08670	1.08772	1.08647	1.08753	1959	0	0
2024.05.20	04:00:00	1.08752	1.08822	1.08717	1.08807	3191	0	0
2024.05.20	08:00:00	1.08807	1.08845	1.08695	1.08748	5011	0	0
2024.05.20	12:00:00	1.08746	1.08751	1.08535	1.08575	5527	0	0
2024.05.20	16:00:00	1.08575	1.08698	1.08575	1.08657	7128	0	0
2024.05.20	20:00:00	1.08657	1.08706	1.08559	1.08561	4059	0	0
2024.05.21	00:00:00	1.08557	1.08618	1.08532	1.08615	2976	0	0
2024.05.21	04:00:00	1.08614	1.08616	1.08509	1.08588	3006	0	0
2024.05.21	08:00:00	1.08589	1.08694	1.08566	1.08666	6046	0	0
2024.05.21	12:00:00	1.08666	1.08748	1.08547	1.08571	6065	0	0
2024.05.21	16:00:00	1.08571	1.08618	1.08429	1.08538	9205	0	0
2024.05.21	20:00:00	1.08539	1.08563	1.08462	1.08532	3158	0	0
2024.05.22	00:00:00	1.08518	1.08598	1.08517	1.08575	1701	0	0
2024.05.22	04:00:00	1.08570	1.08633	1.08527	1.08535	3081	0	0
2024.05.22	08:00:00	1.08535	1.08634	1.08464	1.08483	5484	0	0
2024.05.22	12:00:00	1.08483	1.08496	1.08220	1.08320	6773	0	0
2024.05.22	16:00:00	1.08320	1.08441	1.08317	1.08424	8051	0	0
2024.05.22	20:00:00	1.08424	1.08469	1.08174	1.08221	6300	0	0
2024.05.23	00:00:00	1.08214	1.08288	1.08192	1.08256	1877	0	0
2024.05.23	04:00:00	1.08256	1.08323	1.08220	1.08266	2873	0	0
2024.05.23	08:00:00	1.08266	1.08448	1.08124	1.08386	6942	0	0
2024.05.23	12:00:00	1.08386	1.08544	1.08333	1.08527	7312	0	0
2024.05.23	16:00:00	1.08528	1.08610	1.08180	1.08182	10610	0	0
