<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	156.201	156.213	156.011	156.189	1172	0	27
2024.05.14	01:00:00	156.188	156.237	156.170	156.223	491	0	0
2024.05.14	02:00:00	156.225	156.238	156.181	156.228	796	0	1
2024.05.14	03:00:00	156.227	156.394	156.224	156.291	1806	0	2
2024.05.14	04:00:00	156.291	156.455	156.291	156.419	1587	0	2
2024.05.14	05:00:00	156.421	156.493	156.421	156.444	752	0	0
2024.05.14	06:00:00	156.442	156.448	156.374	156.411	756	0	1
2024.05.14	07:00:00	156.417	156.434	156.374	156.408	473	0	2
2024.05.14	08:00:00	156.408	156.447	156.393	156.419	819	0	1
2024.05.14	09:00:00	156.418	156.539	156.407	156.449	1714	0	0
2024.05.14	10:00:00	156.450	156.506	156.424	156.460	1336	0	0
2024.05.14	11:00:00	156.460	156.491	156.410	156.453	1305	0	0
2024.05.14	12:00:00	156.453	156.468	156.285	156.350	1369	0	0
2024.05.14	13:00:00	156.350	156.433	156.344	156.427	1050	0	0
2024.05.14	14:00:00	156.427	156.464	156.405	156.451	680	0	0
2024.05.14	15:00:00	156.446	156.790	156.404	156.579	2763	0	0
2024.05.14	16:00:00	156.580	156.653	156.227	156.348	3334	0	0
2024.05.14	17:00:00	156.350	156.516	156.279	156.392	2325	0	1
2024.05.14	18:00:00	156.391	156.512	156.373	156.504	1741	0	0
2024.05.14	19:00:00	156.504	156.541	156.452	156.481	1460	0	0
2024.05.14	20:00:00	156.474	156.513	156.423	156.501	989	0	3
2024.05.14	21:00:00	156.501	156.505	156.381	156.433	943	0	1
2024.05.14	22:00:00	156.433	156.472	156.404	156.460	1035	0	1
2024.05.14	23:00:00	156.460	156.464	156.399	156.413	605	0	8
2024.05.15	00:00:00	156.389	156.419	156.386	156.409	192	0	25
2024.05.15	01:00:00	156.409	156.476	156.390	156.431	580	0	8
2024.05.15	02:00:00	156.430	156.522	156.422	156.518	662	0	2
2024.05.15	03:00:00	156.519	156.558	156.381	156.387	1479	0	0
2024.05.15	04:00:00	156.382	156.442	156.306	156.383	1331	0	1
2024.05.15	05:00:00	156.383	156.478	156.381	156.457	996	0	0
2024.05.15	06:00:00	156.457	156.461	156.383	156.393	942	0	1
2024.05.15	07:00:00	156.393	156.394	156.340	156.357	701	0	1
2024.05.15	08:00:00	156.356	156.361	156.174	156.239	1283	0	2
2024.05.15	09:00:00	156.238	156.390	156.225	156.254	1686	0	1
2024.05.15	10:00:00	156.254	156.282	155.960	156.096	2037	0	0
2024.05.15	11:00:00	156.096	156.120	155.571	155.647	2396	0	0
2024.05.15	12:00:00	155.646	155.847	155.603	155.828	1861	0	1
2024.05.15	13:00:00	155.824	155.877	155.700	155.737	1371	0	1
2024.05.15	14:00:00	155.737	155.753	155.570	155.674	1937	0	0
2024.05.15	15:00:00	155.674	155.687	154.751	155.116	4234	0	0
2024.05.15	16:00:00	155.116	155.799	155.026	155.737	4307	0	0
2024.05.15	17:00:00	155.740	155.762	155.294	155.311	3421	0	1
2024.05.15	18:00:00	155.312	155.351	154.740	155.024	3386	0	0
2024.05.15	19:00:00	155.024	155.127	154.833	154.978	2559	0	2
2024.05.15	20:00:00	154.978	154.999	154.688	154.743	2136	0	2
2024.05.15	21:00:00	154.743	155.021	154.728	154.903	1907	0	3
2024.05.15	22:00:00	154.905	155.018	154.862	154.965	1330	0	2
2024.05.15	23:00:00	154.969	154.969	154.822	154.865	889	0	4
2024.05.16	00:00:00	154.856	154.889	154.746	154.767	487	0	11
2024.05.16	01:00:00	154.768	154.803	154.501	154.556	1317	0	4
2024.05.16	02:00:00	154.551	154.676	154.153	154.297	2230	0	1
2024.05.16	03:00:00	154.288	154.533	153.597	153.661	3588	0	1
2024.05.16	04:00:00	153.656	154.121	153.626	154.094	3356	0	0
2024.05.16	05:00:00	154.094	154.309	153.829	154.003	3081	0	0
2024.05.16	06:00:00	154.003	154.082	153.892	153.965	1962	0	0
2024.05.16	07:00:00	153.969	154.047	153.802	153.932	1713	0	0
2024.05.16	08:00:00	153.933	154.193	153.849	154.177	1833	0	2
2024.05.16	09:00:00	154.175	154.379	154.111	154.362	2846	0	1
2024.05.16	10:00:00	154.356	154.451	154.277	154.414	2850	0	0
2024.05.16	11:00:00	154.414	154.808	154.336	154.714	2738	0	0
2024.05.16	12:00:00	154.713	154.784	154.639	154.675	1873	0	0
2024.05.16	13:00:00	154.675	154.737	154.614	154.672	1399	0	2
2024.05.16	14:00:00	154.672	154.941	154.655	154.877	1982	0	0
2024.05.16	15:00:00	154.876	155.329	154.615	155.307	3269	0	0
2024.05.16	16:00:00	155.308	155.528	155.264	155.464	3040	0	0
2024.05.16	17:00:00	155.466	155.491	155.228	155.301	2562	0	0
2024.05.16	18:00:00	155.303	155.328	155.156	155.253	2007	0	0
2024.05.16	19:00:00	155.256	155.355	155.237	155.265	1845	0	0
2024.05.16	20:00:00	155.266	155.297	155.211	155.251	1196	0	1
2024.05.16	21:00:00	155.251	155.331	155.237	155.327	1336	0	2
2024.05.16	22:00:00	155.327	155.422	155.312	155.417	1238	0	2
2024.05.16	23:00:00	155.417	155.430	155.357	155.359	684	0	4
2024.05.17	00:00:00	155.363	155.381	155.321	155.355	301	0	13
2024.05.17	01:00:00	155.339	155.427	155.310	155.381	551	0	3
2024.05.17	02:00:00	155.382	155.455	155.345	155.397	1095	0	0
2024.05.17	03:00:00	155.393	155.585	155.346	155.441	2130	0	1
2024.05.17	04:00:00	155.444	155.864	155.417	155.817	2411	0	0
2024.05.17	05:00:00	155.817	155.924	155.778	155.876	1520	0	2
2024.05.17	06:00:00	155.876	155.898	155.776	155.790	1170	0	0
2024.05.17	07:00:00	155.790	155.853	155.735	155.811	1150	0	0
2024.05.17	08:00:00	155.800	155.848	155.716	155.795	899	0	0
