<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.25552	1.25619	1.25531	1.25570	1838	0	0
2024.05.14	04:00:00	1.25570	1.25596	1.25528	1.25540	4165	0	0
2024.05.14	08:00:00	1.25540	1.25633	1.25091	1.25285	6293	0	0
2024.05.14	12:00:00	1.25285	1.25648	1.25199	1.25533	7576	0	0
2024.05.14	16:00:00	1.25530	1.25928	1.25488	1.25851	9498	0	0
2024.05.14	20:00:00	1.25851	1.25926	1.25810	1.25909	3950	0	0
2024.05.15	00:00:00	1.25886	1.25904	1.25737	1.25880	2005	0	3
2024.05.15	04:00:00	1.25880	1.25991	1.25873	1.25931	2963	0	1
2024.05.15	08:00:00	1.25930	1.26139	1.25868	1.26123	5437	0	0
2024.05.15	12:00:00	1.26123	1.26707	1.26030	1.26448	7977	0	0
2024.05.15	16:00:00	1.26447	1.26769	1.26143	1.26742	11647	0	0
2024.05.15	20:00:00	1.26742	1.26861	1.26716	1.26848	4788	0	0
2024.05.16	00:00:00	1.26844	1.27004	1.26708	1.26992	3075	0	2
2024.05.16	04:00:00	1.26990	1.26991	1.26828	1.26877	5608	0	0
2024.05.16	08:00:00	1.26876	1.26889	1.26694	1.26741	6137	0	0
2024.05.16	12:00:00	1.26742	1.26754	1.26520	1.26546	6691	0	0
2024.05.16	16:00:00	1.26542	1.26802	1.26435	1.26730	7998	0	0
2024.05.16	20:00:00	1.26730	1.26765	1.26656	1.26686	4218	0	0
2024.05.17	00:00:00	1.26688	1.26722	1.26611	1.26641	2286	0	0
2024.05.17	04:00:00	1.26641	1.26646	1.26518	1.26553	4471	0	0
2024.05.17	08:00:00	1.26553	1.26696	1.26450	1.26491	5565	0	0
2024.05.17	12:00:00	1.26490	1.26614	1.26456	1.26595	4848	0	0
2024.05.17	16:00:00	1.26595	1.27084	1.26595	1.27010	7499	0	0
2024.05.17	20:00:00	1.27010	1.27115	1.26988	1.27001	3727	0	0
2024.05.20	00:00:00	1.26860	1.27083	1.26847	1.27051	2299	0	0
2024.05.20	04:00:00	1.27051	1.27110	1.27004	1.27077	4683	0	0
2024.05.20	08:00:00	1.27076	1.27087	1.26892	1.27050	5762	0	0
2024.05.20	12:00:00	1.27050	1.27061	1.26924	1.26963	6034	0	0
2024.05.20	16:00:00	1.26960	1.27181	1.26958	1.27176	7244	0	0
2024.05.20	20:00:00	1.27176	1.27251	1.27039	1.27055	3409	0	0
2024.05.21	00:00:00	1.27031	1.27110	1.26974	1.27092	1998	0	0
2024.05.21	04:00:00	1.27093	1.27117	1.26972	1.27097	4232	0	0
2024.05.21	08:00:00	1.27097	1.27207	1.27036	1.27107	5373	0	0
2024.05.21	12:00:00	1.27107	1.27239	1.27061	1.27078	5505	0	0
2024.05.21	16:00:00	1.27076	1.27268	1.26864	1.27074	9906	0	0
2024.05.21	20:00:00	1.27073	1.27156	1.27015	1.27082	3976	0	0
2024.05.22	00:00:00	1.27070	1.27157	1.27007	1.27130	2104	0	0
2024.05.22	04:00:00	1.27130	1.27226	1.27094	1.27102	5004	0	0
2024.05.22	08:00:00	1.27102	1.27613	1.27081	1.27285	7473	0	0
2024.05.22	12:00:00	1.27285	1.27339	1.27002	1.27265	7275	0	0
2024.05.22	16:00:00	1.27264	1.27476	1.27210	1.27438	8518	0	0
2024.05.22	20:00:00	1.27438	1.27501	1.27103	1.27160	7257	0	0
2024.05.23	00:00:00	1.27159	1.27237	1.27115	1.27195	3016	0	0
2024.05.23	04:00:00	1.27194	1.27317	1.27166	1.27256	4912	0	0
2024.05.23	08:00:00	1.27256	1.27385	1.27160	1.27204	7738	0	0
2024.05.23	12:00:00	1.27204	1.27446	1.27053	1.27319	7618	0	0
2024.05.23	16:00:00	1.27319	1.27466	1.27043	1.27119	11942	0	0
2024.05.23	20:00:00	1.27121	1.27121	1.26852	1.26973	6999	0	0
2024.05.24	00:00:00	1.26968	1.26987	1.26856	1.26940	2964	0	0
2024.05.24	04:00:00	1.26940	1.26975	1.26870	1.26917	3995	0	0
2024.05.24	08:00:00	1.26915	1.27072	1.26716	1.27048	8541	0	0
2024.05.24	12:00:00	1.27048	1.27253	1.27033	1.27207	6612	0	0
2024.05.24	16:00:00	1.27208	1.27508	1.27176	1.27339	9120	0	0
2024.05.24	20:00:00	1.27339	1.27459	1.27320	1.27364	4476	0	0
2024.05.27	00:00:00	1.27340	1.27430	1.27269	1.27387	1987	0	0
2024.05.27	04:00:00	1.27387	1.27435	1.27381	1.27427	2160	0	0
2024.05.27	08:00:00	1.27427	1.27473	1.27341	1.27418	3710	0	0
2024.05.27	12:00:00	1.27419	1.27584	1.27419	1.27565	4577	0	0
2024.05.27	16:00:00	1.27568	1.27776	1.27551	1.27699	4006	0	0
2024.05.27	20:00:00	1.27699	1.27714	1.27670	1.27679	1720	0	0
2024.05.28	00:00:00	1.27683	1.27758	1.27654	1.27712	2347	0	1
2024.05.28	04:00:00	1.27706	1.27829	1.27703	1.27745	4210	0	0
2024.05.28	08:00:00	1.27747	1.27815	1.27623	1.27689	6116	0	0
2024.05.28	12:00:00	1.27689	1.27944	1.27638	1.27921	5959	0	0
2024.05.28	16:00:00	1.27921	1.28006	1.27707	1.27765	8726	0	0
2024.05.28	20:00:00	1.27761	1.27776	1.27540	1.27607	6246	0	0
2024.05.29	00:00:00	1.27609	1.27634	1.27445	1.27536	2971	0	2
2024.05.29	04:00:00	1.27537	1.27598	1.27469	1.27523	5080	0	0
2024.05.29	08:00:00	1.27523	1.27715	1.27492	1.27556	7426	0	0
2024.05.29	12:00:00	1.27557	1.27647	1.27354	1.27445	7600	0	0
2024.05.29	16:00:00	1.27450	1.27460	1.27052	1.27170	10520	0	0
2024.05.29	20:00:00	1.27168	1.27170	1.26985	1.27003	5258	0	0
2024.05.30	00:00:00	1.26985	1.27050	1.26905	1.26936	3357	0	1
2024.05.30	04:00:00	1.26937	1.27034	1.26896	1.26950	4877	0	0
2024.05.30	08:00:00	1.26948	1.27152	1.26811	1.27125	7772	0	0
2024.05.30	12:00:00	1.27125	1.27278	1.27033	1.27242	7621	0	0
2024.05.30	16:00:00	1.27243	1.27471	1.27176	1.27412	9452	0	0
2024.05.30	20:00:00	1.27412	1.27436	1.27262	1.27316	4610	0	0
2024.05.31	00:00:00	1.27291	1.27334	1.27233	1.27303	3022	0	0
2024.05.31	04:00:00	1.27303	1.27323	1.27150	1.27210	5216	0	0
2024.05.31	08:00:00	1.27210	1.27233	1.27002	1.27099	7628	0	0
2024.05.31	12:00:00	1.27100	1.27505	1.27066	1.27467	9402	0	0
2024.05.31	16:00:00	1.27464	1.27660	1.27179	1.27298	11530	0	0
2024.05.31	20:00:00	1.27297	1.27465	1.27242	1.27407	5497	0	0
2024.06.03	00:00:00	1.27335	1.27551	1.27286	1.27532	3167	0	0
2024.06.03	04:00:00	1.27531	1.27553	1.27375	1.27431	4172	0	0
2024.06.03	08:00:00	1.27430	1.27438	1.27041	1.27046	7960	0	0
2024.06.03	12:00:00	1.27047	1.27359	1.26946	1.27311	8311	0	0
2024.06.03	16:00:00	1.27310	1.27939	1.27300	1.27791	11142	0	0
2024.06.03	20:00:00	1.27789	1.28080	1.27753	1.28070	5695	0	0
2024.06.04	00:00:00	1.28068	1.28172	1.27982	1.28116	3001	0	0
2024.06.04	04:00:00	1.28116	1.28124	1.28036	1.28095	3697	0	0
2024.06.04	08:00:00	1.28095	1.28127	1.27737	1.27764	8205	0	0
2024.06.04	12:00:00	1.27766	1.27786	1.27430	1.27649	9741	0	0
2024.06.04	16:00:00	1.27649	1.27917	1.27590	1.27865	11523	0	0
2024.06.04	20:00:00	1.27864	1.27968	1.27671	1.27699	6142	0	0
2024.06.05	00:00:00	1.27711	1.27769	1.27415	1.27751	2377	0	0
2024.06.05	04:00:00	1.27752	1.27807	1.27699	1.27739	4631	0	0
2024.06.05	08:00:00	1.27739	1.27828	1.27648	1.27747	7032	0	0
2024.06.05	12:00:00	1.27746	1.27944	1.27668	1.27924	6840	0	0
2024.06.05	16:00:00	1.27923	1.27949	1.27554	1.27777	11428	0	0
2024.06.05	20:00:00	1.27778	1.27943	1.27744	1.27857	4199	0	0
2024.06.06	00:00:00	1.27851	1.28030	1.27794	1.28018	2655	0	0
2024.06.06	04:00:00	1.28018	1.28089	1.27949	1.27956	4020	0	0
2024.06.06	08:00:00	1.27955	1.28003	1.27755	1.27870	6095	0	0
2024.06.06	12:00:00	1.27870	1.27911	1.27656	1.27786	7531	0	0
2024.06.06	16:00:00	1.27783	1.27891	1.27627	1.27783	9636	0	0
2024.06.06	20:00:00	1.27783	1.27955	1.27776	1.27894	4362	0	0
2024.06.07	00:00:00	1.27836	1.27939	1.27836	1.27885	2263	0	0
2024.06.07	04:00:00	1.27886	1.27915	1.27836	1.27901	4328	0	0
2024.06.07	08:00:00	1.27903	1.28020	1.27815	1.27887	6828	0	0
2024.06.07	12:00:00	1.27886	1.28115	1.27254	1.27380	8714	0	0
2024.06.07	16:00:00	1.27376	1.27409	1.27159	1.27243	12588	0	0
2024.06.07	20:00:00	1.27239	1.27269	1.27149	1.27149	5874	0	0
2024.06.10	00:00:00	1.27267	1.27314	1.27109	1.27246	3256	0	0
2024.06.10	04:00:00	1.27247	1.27268	1.27108	1.27165	3414	0	0
2024.06.10	08:00:00	1.27165	1.27244	1.27056	1.27078	8177	0	0
2024.06.10	12:00:00	1.27078	1.27294	1.26882	1.27124	7494	0	0
2024.06.10	16:00:00	1.27124	1.27369	1.27041	1.27287	8007	0	0
2024.06.10	20:00:00	1.27287	1.27368	1.27241	1.27301	4630	0	0
2024.06.11	00:00:00	1.27302	1.27332	1.27048	1.27274	2498	0	2
2024.06.11	04:00:00	1.27274	1.27388	1.27242	1.27346	3931	0	0
2024.06.11	08:00:00	1.27347	1.27401	1.27142	1.27250	7156	0	0
2024.06.11	12:00:00	1.27251	1.27495	1.27229	1.27441	9004	0	0
2024.06.11	16:00:00	1.27441	1.27477	1.27059	1.27290	9493	0	0
2024.06.11	20:00:00	1.27290	1.27511	1.27268	1.27397	4733	0	0
2024.06.12	00:00:00	1.27379	1.27410	1.27266	1.27333	2247	0	0
2024.06.12	04:00:00	1.27334	1.27449	1.27329	1.27388	3911	0	0
2024.06.12	08:00:00	1.27387	1.27597	1.27367	1.27575	6095	0	0
2024.06.12	12:00:00	1.27575	1.28580	1.27487	1.28531	7893	0	0
2024.06.12	16:00:00	1.28528	1.28605	1.28259	1.28455	11667	0	0
2024.06.12	20:00:00	1.28457	1.28483	1.27910	1.27976	11644	0	0
2024.06.13	00:00:00	1.27976	1.27994	1.27888	1.27954	2387	0	0
2024.06.13	04:00:00	1.27955	1.27996	1.27804	1.27805	4644	0	0
2024.06.13	08:00:00	1.27806	1.27990	1.27728	1.27986	6964	0	0
2024.06.13	12:00:00	1.27986	1.28076	1.27618	1.27846	8786	0	0
2024.06.13	16:00:00	1.27846	1.27929	1.27386	1.27454	11779	0	0
2024.06.13	20:00:00	1.27454	1.27669	1.27450	1.27617	5837	0	0
2024.06.14	00:00:00	1.27596	1.27620	1.27390	1.27507	2431	0	0
2024.06.14	04:00:00	1.27507	1.27632	1.27486	1.27489	4794	0	0
2024.06.14	08:00:00	1.27489	1.27528	1.27200	1.27216	9458	0	0
2024.06.14	12:00:00	1.27215	1.27224	1.26702	1.26906	11738	0	0
2024.06.14	16:00:00	1.26906	1.26959	1.26568	1.26866	10963	0	0
2024.06.14	20:00:00	1.26865	1.26926	1.26783	1.26852	4919	0	0
2024.06.17	00:00:00	1.26823	1.26884	1.26733	1.26841	3084	0	0
2024.06.17	04:00:00	1.26841	1.26865	1.26766	1.26833	4331	0	0
2024.06.17	08:00:00	1.26833	1.26841	1.26613	1.26741	8813	0	0
2024.06.17	12:00:00	1.26743	1.26775	1.26588	1.26673	7620	0	0
2024.06.17	16:00:00	1.26673	1.26977	1.26642	1.26964	8410	0	0
2024.06.17	20:00:00	1.26965	1.27093	1.26952	1.27043	4620	0	0
2024.06.18	00:00:00	1.27011	1.27149	1.26942	1.27097	2769	0	0
2024.06.18	04:00:00	1.27097	1.27109	1.26931	1.26940	4291	0	0
2024.06.18	08:00:00	1.26940	1.27024	1.26729	1.26801	7798	0	0
2024.06.18	12:00:00	1.26798	1.26939	1.26688	1.26913	8493	0	0
2024.06.18	16:00:00	1.26914	1.27210	1.26855	1.27024	10060	0	0
2024.06.18	20:00:00	1.27024	1.27099	1.26981	1.27082	5506	0	0
2024.06.19	00:00:00	1.27074	1.27109	1.26885	1.27038	2181	0	0
2024.06.19	04:00:00	1.27037	1.27134	1.27029	1.27056	3271	0	0
2024.06.19	08:00:00	1.27056	1.27328	1.27001	1.27327	7657	0	0
2024.06.19	12:00:00	1.27327	1.27399	1.27156	1.27196	6807	0	0
2024.06.19	16:00:00	1.27197	1.27338	1.27168	1.27208	4739	0	0
2024.06.19	20:00:00	1.27207	1.27217	1.27139	1.27166	1237	0	0
2024.06.20	00:00:00	1.27169	1.27225	1.27093	1.27151	2188	0	0
2024.06.20	04:00:00	1.27151	1.27187	1.27098	1.27133	3401	0	0
2024.06.20	08:00:00	1.27132	1.27151	1.26956	1.26969	6528	0	0
2024.06.20	12:00:00	1.26970	1.27077	1.26752	1.26780	8574	0	0
2024.06.20	16:00:00	1.26779	1.26876	1.26590	1.26633	8916	0	0
2024.06.20	20:00:00	1.26633	1.26819	1.26547	1.26565	5702	0	0
2024.06.21	00:00:00	1.26565	1.26622	1.26505	1.26567	2124	0	0
2024.06.21	04:00:00	1.26567	1.26654	1.26552	1.26616	3220	0	0
