<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.07882	1.07892	1.07853	1.07868	151	0	13
2024.05.14	00:30:00	1.07868	1.07899	1.07868	1.07883	114	0	14
2024.05.14	01:00:00	1.07882	1.07897	1.07872	1.07893	126	0	8
2024.05.14	01:30:00	1.07892	1.07897	1.07889	1.07894	100	0	7
2024.05.14	02:00:00	1.07896	1.07928	1.07896	1.07925	177	0	0
2024.05.14	02:30:00	1.07925	1.07935	1.07917	1.07919	253	0	0
2024.05.14	03:00:00	1.07919	1.07922	1.07874	1.07874	279	0	0
2024.05.14	03:30:00	1.07874	1.07883	1.07854	1.07875	339	0	0
2024.05.14	04:00:00	1.07875	1.07896	1.07851	1.07853	413	0	0
2024.05.14	04:30:00	1.07853	1.07886	1.07843	1.07873	473	0	0
2024.05.14	05:00:00	1.07873	1.07873	1.07848	1.07850	244	0	0
2024.05.14	05:30:00	1.07850	1.07870	1.07844	1.07866	221	0	0
2024.05.14	06:00:00	1.07866	1.07870	1.07853	1.07868	292	0	0
2024.05.14	06:30:00	1.07868	1.07880	1.07857	1.07875	313	0	0
2024.05.14	07:00:00	1.07876	1.07888	1.07868	1.07874	182	0	0
2024.05.14	07:30:00	1.07874	1.07876	1.07853	1.07853	213	0	0
2024.05.14	08:00:00	1.07853	1.07861	1.07843	1.07854	232	0	0
2024.05.14	08:30:00	1.07854	1.07871	1.07848	1.07863	283	0	0
2024.05.14	09:00:00	1.07862	1.07893	1.07838	1.07838	768	0	0
2024.05.14	09:30:00	1.07839	1.07882	1.07829	1.07874	637	0	0
2024.05.14	10:00:00	1.07875	1.07889	1.07856	1.07884	682	0	0
2024.05.14	10:30:00	1.07884	1.07889	1.07857	1.07872	606	0	0
2024.05.14	11:00:00	1.07872	1.07872	1.07753	1.07774	970	0	0
2024.05.14	11:30:00	1.07774	1.07852	1.07766	1.07835	813	0	0
2024.05.14	12:00:00	1.07835	1.07933	1.07835	1.07900	796	0	0
2024.05.14	12:30:00	1.07898	1.07935	1.07863	1.07928	636	0	0
2024.05.14	13:00:00	1.07928	1.07951	1.07925	1.07946	559	0	0
2024.05.14	13:30:00	1.07946	1.07988	1.07921	1.07962	636	0	0
2024.05.14	14:00:00	1.07962	1.07989	1.07951	1.07969	619	0	0
2024.05.14	14:30:00	1.07969	1.07989	1.07925	1.07925	419	0	0
2024.05.14	15:00:00	1.07927	1.07990	1.07920	1.07963	705	0	0
2024.05.14	15:30:00	1.07926	1.08104	1.07664	1.08032	2376	0	0
2024.05.14	16:00:00	1.08030	1.08226	1.08006	1.08154	1730	0	0
2024.05.14	16:30:00	1.08155	1.08190	1.08118	1.08188	1262	0	0
2024.05.14	17:00:00	1.08188	1.08235	1.08100	1.08115	1214	0	0
2024.05.14	17:30:00	1.08115	1.08256	1.08099	1.08248	1223	0	0
2024.05.14	18:00:00	1.08248	1.08249	1.08161	1.08180	843	0	0
2024.05.14	18:30:00	1.08184	1.08231	1.08150	1.08183	769	0	0
2024.05.14	19:00:00	1.08183	1.08183	1.08138	1.08155	700	0	0
2024.05.14	19:30:00	1.08155	1.08200	1.08150	1.08168	598	0	0
2024.05.14	20:00:00	1.08168	1.08196	1.08154	1.08188	529	0	0
2024.05.14	20:30:00	1.08188	1.08199	1.08172	1.08190	439	0	0
2024.05.14	21:00:00	1.08190	1.08229	1.08187	1.08208	336	0	0
2024.05.14	21:30:00	1.08209	1.08222	1.08193	1.08198	384	0	0
2024.05.14	22:00:00	1.08198	1.08214	1.08192	1.08212	445	0	0
2024.05.14	22:30:00	1.08213	1.08217	1.08198	1.08200	478	0	0
2024.05.14	23:00:00	1.08199	1.08206	1.08174	1.08181	225	0	2
