<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	156.201	156.394	156.011	156.291	4265	0	0
2024.05.14	04:00:00	156.291	156.493	156.291	156.408	3568	0	0
2024.05.14	08:00:00	156.408	156.539	156.393	156.453	5174	0	0
2024.05.14	12:00:00	156.453	156.790	156.285	156.579	5862	0	0
2024.05.14	16:00:00	156.580	156.653	156.227	156.481	8860	0	0
2024.05.14	20:00:00	156.474	156.513	156.381	156.413	3572	0	1
2024.05.15	00:00:00	156.389	156.558	156.381	156.387	2913	0	0
2024.05.15	04:00:00	156.382	156.478	156.306	156.357	3970	0	0
2024.05.15	08:00:00	156.356	156.390	155.571	155.647	7402	0	0
2024.05.15	12:00:00	155.646	155.877	154.751	155.116	9403	0	0
2024.05.15	16:00:00	155.116	155.799	154.740	154.978	13673	0	0
2024.05.15	20:00:00	154.978	155.021	154.688	154.865	6262	0	2
2024.05.16	00:00:00	154.856	154.889	153.597	153.661	7622	0	1
2024.05.16	04:00:00	153.656	154.309	153.626	153.932	10112	0	0
2024.05.16	08:00:00	153.933	154.808	153.849	154.714	10267	0	0
2024.05.16	12:00:00	154.713	155.329	154.614	155.307	8523	0	0
2024.05.16	16:00:00	155.308	155.528	155.156	155.265	9454	0	0
2024.05.16	20:00:00	155.266	155.430	155.211	155.359	4454	0	1
2024.05.17	00:00:00	155.363	155.585	155.310	155.441	4077	0	0
2024.05.17	04:00:00	155.444	155.924	155.417	155.811	6251	0	0
2024.05.17	08:00:00	155.800	155.979	155.595	155.866	5903	0	0
2024.05.17	12:00:00	155.866	155.918	155.714	155.789	5276	0	0
2024.05.17	16:00:00	155.788	155.798	155.248	155.625	8590	0	0
2024.05.17	20:00:00	155.626	155.743	155.584	155.613	4315	0	0
2024.05.20	00:00:00	155.610	155.877	155.498	155.870	3902	0	0
2024.05.20	04:00:00	155.870	155.936	155.663	155.765	5155	0	0
2024.05.20	08:00:00	155.769	155.801	155.497	155.683	6906	0	0
2024.05.20	12:00:00	155.681	156.227	155.635	156.154	6217	0	0
2024.05.20	16:00:00	156.154	156.185	155.998	156.107	6648	0	0
2024.05.20	20:00:00	156.107	156.300	156.046	156.236	3473	0	0
2024.05.21	00:00:00	156.222	156.467	156.132	156.425	3490	0	0
2024.05.21	04:00:00	156.429	156.544	156.396	156.447	5401	0	0
2024.05.21	08:00:00	156.447	156.471	156.034	156.256	7967	0	0
2024.05.21	12:00:00	156.259	156.392	156.081	156.240	6878	0	0
2024.05.21	16:00:00	156.245	156.432	155.847	156.123	9037	0	0
2024.05.21	20:00:00	156.122	156.250	156.106	156.148	4869	0	0
2024.05.22	00:00:00	156.141	156.286	156.092	156.273	3432	0	2
2024.05.22	04:00:00	156.274	156.387	156.205	156.354	4669	0	0
2024.05.22	08:00:00	156.353	156.508	156.285	156.478	5378	0	0
2024.05.22	12:00:00	156.479	156.611	156.391	156.544	6515	0	0
2024.05.22	16:00:00	156.543	156.558	156.349	156.492	8749	0	0
2024.05.22	20:00:00	156.490	156.832	156.447	156.765	5681	0	0
2024.05.23	00:00:00	156.769	156.828	156.656	156.800	3426	0	2
2024.05.23	04:00:00	156.800	156.898	156.645	156.717	4694	0	0
2024.05.23	08:00:00	156.718	156.792	156.561	156.756	7015	0	0
2024.05.23	12:00:00	156.756	156.783	156.526	156.751	6336	0	0
2024.05.23	16:00:00	156.755	157.194	156.551	157.046	10483	0	0
2024.05.23	20:00:00	157.045	157.062	156.827	156.898	5307	0	0
2024.05.24	00:00:00	156.901	157.137	156.873	157.034	4429	0	0
2024.05.24	04:00:00	157.040	157.143	156.992	157.080	4638	0	0
2024.05.24	08:00:00	157.080	157.115	156.997	157.024	5525	0	0
2024.05.24	12:00:00	157.024	157.127	156.934	157.073	5462	0	0
2024.05.24	16:00:00	157.074	157.126	156.822	156.914	7288	0	0
2024.05.24	20:00:00	156.915	156.993	156.878	156.987	3867	0	0
2024.05.27	00:00:00	156.940	157.010	156.753	156.829	3639	0	0
2024.05.27	04:00:00	156.829	156.846	156.662	156.769	4589	0	0
2024.05.27	08:00:00	156.770	156.957	156.723	156.945	4348	0	0
